Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F ,Total duration of F ,Mean duration of F,Mean Duration of pd,Average number of pd per probe ,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
zt16,58.7,3,0,NA,NA,3.6,8,1071.7,0,NA,NA,3,7,3,4,2,8213.7,3.4,88.1,25192.3,852.5,363.3,24339.8,121.8,6085,6,12,6,48,3378.5,3607.5,229,170.8,28570.8,38.2,281.5,1161.1,12,15936.5,11.8,3,85.2,0,0,50
zt16,133.8,4,3,1900.6,633.5,4.4,7,1827,3,1760.6,586.9,13,26,15,10,3,4450.4,25.3,35.2,12699.6,3217.5,1397.6,9482.1,123.7,948.2,17,45,17,119,11247.3,16100.3,1191.8,525,27608.1,70.1,249.9,1861,45.3,4416.4,40.7,11.7,34.3,6.9,6.4,30
zt16,358.9,3,6,4584.7,764.1,4.8,11,6227,4,2190.9,547.7,10,16,11,5,1,210,41.2,30.8,11793.1,4857.1,4179.6,6935.9,303.6,1387.2,13,36,13,144,8032.4,17006.9,2198.9,695.1,26601,169.1,223.1,6278.6,38.1,6228.1,30.2,18.3,26.1,17.2,8.2,20
zt16,177.2,4,5,3977.4,795.5,5,16,6885.9,2,3118,1559,0,7,3,4,2,2675.8,4.2,78,17626.3,738.1,289.4,16888.2,105.4,4222,4,17,4,65,3739.9,11173.7,338.4,324,28461.6,84.6,220,7139.4,22,14161.1,13.1,2.6,59.3,14,11,50
zt20,464.9,1,0,NA,NA,3.8,12,2105.3,1,896.3,896.3,0,3,1,2,2,1351.6,0.5,98.7,26457.7,139.4,32.6,26318.3,46.5,13159.1,1,4,1,12,981.1,2342.3,464.9,45.2,28335.1,464.9,245.3,2142.1,63.1,25003.5,3.5,0.5,92.9,0,3.2,100
zt20,243.6,4,0,NA,NA,3.6,8,3503.1,0,NA,NA,0,3,0,3,1,138.4,3.3,96.8,25296.9,822.3,NA,24474.6,274.1,8158.2,4,4,4,33,2362,3503.1,1141.1,118.9,27658.9,285.3,590.5,3528.6,735.8,24346.8,8.5,3,88.5,0,0,33.3
zt20,331.7,2,3,94.6,31.5,3.9,5,2493,5,1079,215.8,0,3,1,2,1,105.8,6.5,91.8,25807.9,1681.8,59.4,24126.1,560.6,12063,2,12,2,10,1480.6,2992.1,337.9,39.2,28462.1,168.9,123.4,2527.6,43.5,24054.8,5.2,5.9,84.8,0.3,3.8,50
zt20,618.6,3,1,1843.1,1843.1,4.1,11,3724.3,0,NA,NA,1,7,3,4,2,2849,6.2,85.6,22853.4,1427,772.9,21426.3,203.9,5356.6,4,11,4,43,2845.2,5946.6,1258.4,174.6,27541.6,314.6,258.7,3766,42.3,18472,10.3,5.2,77.8,6.7,0,50
zt20,232.5,3,3,6118.3,2039.4,5.4,7,7676.7,0,NA,NA,6,9,6,3,1,27.5,6,80,17291.8,1038.8,466.9,16253.1,115.4,5417.7,9,20,9,65,4794.9,11508.2,595,347.8,28205,66.1,239.7,8487.8,3017.4,15464.5,17,3.7,57.6,21.7,0,33.3
zt20,560.3,5,2,1659.6,829.8,3.9,4,3701.8,0,NA,NA,0,2,0,2,2,969.3,3.3,96.8,25041,832.5,NA,24208.5,416.3,12104.2,5,7,5,22,1265.6,3759,833.8,85.8,27966.2,166.8,180.8,3794.3,381.2,23331.7,4.5,3,86.6,5.9,0,100
